     1     1      1 1      1 1      1 1      1 1    3.4360588      1.0000    0.00000
     1     2      1 1      1 1      1 2      1 2   -5.6128261      1.0000    0.00000
     1     3      1 1      1 1      1 1      2 1   -.85901470      1.0000    0.00000
     1     4      1 1      1 1      1 2      2 1   -.69790357E-03  1.0000    0.00000
     1     5      1 1      1 1      1 2      2 2    1.4032065      1.0000    0.00000
     1     6      1 1      1 2      1 3      2 1   -.68457991E-03  1.0000    0.00000
     1     7      1 1      1 1      1 1      2 2   -.69790357E-03  1.0000    0.00000
     1     8      1 1      1 1      1 2      2 3   -.68457991E-03  1.0000    0.00000
     1     9      1 1      1 1      2 1      2 1   0.85901470      1.0000    0.00000
     1    10      1 1      1 1      2 1      2 2   0.69790357E-03  1.0000    0.00000
     1    11      1 1      1 1      2 2      2 2   -1.4032065      1.0000    0.00000
     1    12      1 1      1 1      2 2      2 3   0.68457991E-03  1.0000    0.00000
     1    13      1 1      1 2      2 1      2 2   -1.4032065      1.0000    0.00000
     1    14      1 1      1 2      2 1      2 3   0.68457991E-03  1.0000    0.00000
